"";"Compound";"Filename";"Area";"RT";"Theoretical_amt";"SMILES";"IC";"Molecular_weight";"area_IC";"Theoretical_conc_uM";"slope_pred";"conc_pred";"Compound_homolog";"SMILES_homolog";"slope_homolog";"pattern";"conc_homolog"
"18";"11Cl-PF3OUdS";"2020071212-solvent_201208105404";4337;6,2;NA;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;675665,190290665;NA;NA;NA;NA;NA;NA;NA;NA
"19";"11Cl-PF3OUdS";"2020071212-solvent_201208185514";35287;6,21;NA;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;5497393,9519914;NA;NA;NA;NA;NA;NA;NA;NA
"20";"11Cl-PF3OUdS";"cal7_201208072952";59464496;6,21;NA;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;9264028131,28395;NA;NA;NA;NA;NA;NA;NA;NA
"21";"11Cl-PF3OUdS";"cal7_201208103931";75802895;6,21;NA;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;11809402230,749;NA;NA;NA;NA;NA;NA;NA;NA
"22";"11Cl-PF3OUdS";"cal7_201208143247";90777263;6,22;NA;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;14142272695,1719;NA;NA;NA;NA;NA;NA;NA;NA
"23";"11Cl-PF3OUdS";"cal7_201208162928";105574658;6,22;NA;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;16447572374,3237;NA;NA;NA;NA;NA;NA;NA;NA
"24";"11Cl-PF3OUdS";"QCN-AL";10462900;6,2;NA;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;1630024745,0985;NA;NA;NA;NA;NA;NA;NA;NA
"25";"11Cl-PF3OUdS";"QCN-BL";13494091;6,21;NA;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;2102256758,89199;NA;NA;NA;NA;NA;NA;NA;NA
"26";"11Cl-PF3OUdS";"QCN-CL";11578562;6,21;NA;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;1803834746,83474;NA;NA;NA;NA;NA;NA;NA;NA
"27";"4:2 FTS";"2020071204-cal11";42808;2,47;0,012;"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F";112,949742178455;328,153;4835152,56317532;3,65683080758061e-05;NA;NA;NA;NA;NA;NA;NA
"28";"4:2 FTS";"2020071204-cal12";50501;2,46;0,012;"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F";112,949742178455;328,153;5704074,92975418;3,65683080758061e-05;NA;NA;NA;NA;NA;NA;NA
"29";"4:2 FTS";"2020071205-cal21";107751;2,49;0,041;"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F";112,949742178455;328,153;12170447,6694708;0,000124941719259004;NA;NA;NA;NA;NA;NA;NA
"30";"4:2 FTS";"2020071205-cal22";168543;2,46;0,041;"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F";112,949742178455;328,153;19036888,3959834;0,000124941719259004;NA;NA;NA;NA;NA;NA;NA
"31";"4:2 FTS";"2020071206-cal31";239032;2,47;0,144;"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F";112,949742178455;328,153;26998602,7724006;0,000438819696909673;NA;NA;NA;NA;NA;NA;NA
"32";"4:2 FTS";"2020071206-cal32";298789;2,48;0,144;"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F";112,949742178455;328,153;33748140,5157585;0,000438819696909673;NA;NA;NA;NA;NA;NA;NA
"33";"4:2 FTS";"2020071207-cal41";1060952;2,46;0,505;"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F";112,949742178455;328,153;119834254,863717;0,00153891629819017;NA;NA;NA;NA;NA;NA;NA
"34";"4:2 FTS";"2020071207-cal42";1193398;2,47;0,505;"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F";112,949742178455;328,153;134793996,416284;0,00153891629819017;NA;NA;NA;NA;NA;NA;NA
"35";"4:2 FTS";"2020071208-cal51";1640499;2,47;1,755;"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F";112,949742178455;328,153;185293939,094014;0,00534811505608664;NA;NA;NA;NA;NA;NA;NA
"36";"4:2 FTS";"2020071208-cal52";1976398;2,46;1,755;"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F";112,949742178455;328,153;223233644,542015;0,00534811505608664;NA;NA;NA;NA;NA;NA;NA
"37";"4:2 FTS";"2020071209-cal61";6491487;2,46;6,294;"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F";112,949742178455;328,153;733211783,004796;0,0191800775857603;NA;NA;NA;NA;NA;NA;NA
"38";"4:2 FTS";"2020071209-cal62";7296861;2,46;6,294;"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F";112,949742178455;328,153;824178568,662027;0,0191800775857603;NA;NA;NA;NA;NA;NA;NA
"39";"4:2 FTS";"2020071210-cal71";14740614;2,47;21,756;"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F";112,949742178455;328,153;1664948550,85213;0,0662983425414365;NA;NA;NA;NA;NA;NA;NA
"40";"4:2 FTS";"2020071210-cal72";25809762;2,46;21,756;"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F";112,949742178455;328,153;2915205963,5873;0,0662983425414365;NA;NA;NA;NA;NA;NA;NA
"41";"4:2 FTS";"2020071211-cal81";65916545;2,46;75,188;"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F";112,949742178455;328,153;7445256763,04456;0,229124828966976;NA;NA;NA;NA;NA;NA;NA
"42";"4:2 FTS";"2020071211-cal82";83315238;2,47;75,188;"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F";112,949742178455;328,153;9410434651,63666;0,229124828966976;NA;NA;NA;NA;NA;NA;NA
"43";"4:2 FTS";"cal7_201208072952";18326009;2,47;NA;"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F";112,949742178455;328,153;2069917991,71006;NA;NA;NA;NA;NA;NA;NA;NA
"44";"4:2 FTS";"cal7_201208103931";20492491;2,47;NA;"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F";112,949742178455;328,153;2314621575,04432;NA;NA;NA;NA;NA;NA;NA;NA
"45";"4:2 FTS";"cal7_201208143247";22859441;2,46;NA;"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F";112,949742178455;328,153;2581967967,29361;NA;NA;NA;NA;NA;NA;NA;NA
"46";"4:2 FTS";"cal7_201208162928";25334085;2,47;NA;"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F";112,949742178455;328,153;2861478369,07708;NA;NA;NA;NA;NA;NA;NA;NA
"47";"4:2 FTS";"QCN-AL";3500746;2,45;NA;"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F";112,949742178455;328,153;395408358,132259;NA;NA;NA;NA;NA;NA;NA;NA
"48";"4:2 FTS";"QCN-BL";4754028;2,46;NA;"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F";112,949742178455;328,153;536966236,909158;NA;NA;NA;NA;NA;NA;NA;NA
"49";"4:2 FTS";"QCN-CL";4592295;2,47;NA;"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F";112,949742178455;328,153;518698536,25741;NA;NA;NA;NA;NA;NA;NA;NA
"50";"6:2 diPAP";"2020071203-solvent_201208164403";42236;6,23;NA;"O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";119,929052645695;790,173;5065323,46754358;NA;NA;NA;NA;NA;NA;NA;NA
"51";"6:2 diPAP";"2020071204-cal11";11704;6,22;0,012;"O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";119,929052645695;790,173;1403649,63216521;1,51865477559977e-05;NA;NA;NA;NA;NA;NA;NA
"52";"6:2 diPAP";"2020071204-cal12";41839;6,24;0,012;"O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";119,929052645695;790,173;5017711,63364324;1,51865477559977e-05;NA;NA;NA;NA;NA;NA;NA
"53";"6:2 diPAP";"2020071205-cal21";47942;6,24;0,042;"O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";119,929052645695;790,173;5749638,64193991;5,31529171459921e-05;NA;NA;NA;NA;NA;NA;NA
"54";"6:2 diPAP";"2020071205-cal22";109845;6,24;0,042;"O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";119,929052645695;790,173;13173606,7878664;5,31529171459921e-05;NA;NA;NA;NA;NA;NA;NA
"55";"6:2 diPAP";"2020071206-cal31";144772;6,22;0,148;"O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";119,929052645695;790,173;17362368,8096226;0,000187300755657305;NA;NA;NA;NA;NA;NA;NA
"56";"6:2 diPAP";"2020071206-cal32";225768;6,24;0,148;"O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";119,929052645695;790,173;27076142,3577133;0,000187300755657305;NA;NA;NA;NA;NA;NA;NA
