,11Cl-PF3OUdS,4_2 FTS,6_2 diPAP,6_2 mono PAP,6_2_8_2 diPAP,8_2 diPAP,8_2 FTS,9Cl-PF3ONS,d3- MeFOSA,d3-MeFOSAA,d5-EtFOSA,D5-EtFOSAA,EtFOSA,EtFOSAA,EtFOSE,FOSA,FOSAA,FPePA,FPrPA,M 6_2 monoPAP,M2 6_2 FTS,M2PFDA,M2PFDoDA,M2PFHxA,M2PFUnDA,M3HFPO-DA,M4 6_2_6_2 diPAP,M4 8_2_8_2 diPAP,M4PFHpA,M4PFOS,M5PFNA,M5PFPeA,M8FOSA,M8PFOA,M8PFOS,MeFOSA,MeFOSAA,MeFOSE,MPFHxA,MPFHxS,MPFOA,NaDONA,PFBS,PFDA,PFDoDA,PFDS,PFHpA,PFHpS,PFHpS-br,PFHxA,PFHxDA,PFHxS,PFHxS-br,PFNA,PFNS,PFNS-br,PFOA,PFOcDA,PFOS,PFOS-br,PFPeA,PFPeDA,PFPeS,PFTeDA,PFTriDA,PFUnDA,PFUnDS
2020071211-cal81,14.578,13.586,15.537,12.843,14.725,14.944,12.880,14.801,1.000,1.000,1.000,1.000,15.064,14.921,14.619,15.171,14.633,15.910,15.670,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,15.052,15.550,15.591,0,1.000,1.000,16.260,9.502,14.498,14.526,13.240,14.244,-0.018,0,14.235,14.284,9.122,0,14.814,-0.023,0,14.673,32.525,14.162,-0.020,14.724,0.006,-0.018,14.434,14.294,14.463,0
2020071211-cal82,14.843,17.175,15.301,20.171,15.531,14.903,17.679,15.013,1.000,1.000,1.000,1.000,14.992,14.837,15.243,14.868,14.454,15.261,14.797,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,14.634,15.744,13.624,0,1.000,1.000,14.671,8.803,14.452,14.287,13.372,14.387,-0.018,0,14.236,15.527,8.856,0,14.790,-0.022,0,14.850,28.642,14.185,-0.020,14.740,0.008,-0.018,14.936,14.041,14.315,0
2020071212-solvent_201208050354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020071212-solvent_201208074426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020071212-solvent_201208105404,0,0,0,0,0,15.120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020071212-solvent_201208144720,0,0,0,0,0,9.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020071212-solvent_201208185514,0,0,0,0,0,7.307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cal7_201208072952,4.222,3.768,4.588,2.493,4.754,4.304,3.399,4.191,1.000,1.000,1.000,1.000,4.379,4.457,4.579,4.401,5.502,4.300,4.560,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,4.375,4.648,4.825,0,1.000,1.000,4.386,3.756,4.578,4.596,4.013,4.113,0,0,4.195,4.896,3.709,0,4.395,0,0,4.428,5.320,4.103,0,4.230,-0.009,0,4.393,4.726,4.629,0
cal7_201208103931,4.348,4.215,4.491,4.875,4.744,4.515,3.996,4.319,1.000,1.000,1.000,1.000,4.386,4.396,4.419,4.409,5.426,3.896,4.273,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,4.304,4.552,4.347,0,1.000,1.000,4.269,3.641,4.530,4.601,4.081,4.101,0,0,4.139,4.855,3.778,0,4.347,0,0,4.342,5.243,4.096,0,4.178,-0.007,-0.020,4.474,4.748,4.624,0
cal7_201208143247,4.408,4.703,4.620,4.608,4.974,4.383,4.808,4.403,1.000,1.000,1.000,1.000,4.451,4.326,4.490,4.407,5.329,3.946,4.092,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,4.352,4.534,4.400,0,1.000,1.000,4.086,3.626,4.526,4.637,4.091,4.167,-0.020,0,4.067,4.976,3.833,0,4.365,0,0,4.318,6.035,4.152,-0.024,4.239,-0.008,-0.020,4.580,4.701,4.653,0
