,11Cl-PF3OUdS,4_2 FTS,6_2 diPAP,6_2 mono PAP,6_2_8_2 diPAP,8_2 diPAP,8_2 FTS,9Cl-PF3ONS,d3- MeFOSA,d3-MeFOSAA,d5-EtFOSA,D5-EtFOSAA,EtFOSA,EtFOSAA,EtFOSE,FOSA,FOSAA,FPePA,FPrPA,M 6_2 monoPAP,M2 6_2 FTS,M2PFDA,M2PFDoDA,M2PFHxA,M2PFUnDA,M3HFPO-DA,M4 6_2_6_2 diPAP,M4 8_2_8_2 diPAP,M4PFHpA,M4PFOS,M5PFNA,M5PFPeA,M8FOSA,M8PFOA,M8PFOS,MeFOSA,MeFOSAA,MeFOSE,MPFHxA,MPFHxS,MPFOA,NaDONA,PFBS,PFDA,PFDoDA,PFDS,PFHpA,PFHpS,PFHpS-br,PFHxA,PFHxDA,PFHxS,PFHxS-br,PFNA,PFNS,PFNS-br,PFOA,PFOcDA,PFOS,PFOS-br,PFPeA,PFPeDA,PFPeS,PFTeDA,PFTriDA,PFUnDA,PFUnDS
PL-4,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,1.186,0,0,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,0,1.461,1.056,0.036,0,-0.019,0,0,0.003,-0.009,0,0.993,0,0,0.055,0,1.877,0.038,0,1.054,0,0.887,5.211,5.483,0
PL-5,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,1.557,0,0,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,0,1.245,0.887,0.034,0,-0.017,0,0,0,-0.006,0,0.497,0,0,0.008,0,2.281,0.054,0,0.965,0,0.863,4.995,4.490,0
QCN-AL,1.113,0.710,1.159,0.172,0.944,1.126,1.031,1.078,1.000,1.000,1.000,1.000,1.952,1.022,0,2.559,1.806,0.585,0.476,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,1.661,1.117,2.476,0,1.000,1.000,1.141,0.983,2.773,2.372,1.120,1.095,-0.018,0,1.055,2.146,1.287,0,2.238,0,0,1.183,5.503,3.176,0.043,1.285,1.144,0,2.705,7.097,7.042,0
QCN-BL,1.155,0.968,1.275,0.173,1.072,1.304,1.371,1.205,1.000,1.000,1.000,1.000,2.262,1.112,0,2.831,2.064,0.720,0.555,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,1.929,1.292,3.158,0,1.000,1.000,1.235,1.033,3.215,2.707,1.186,1.228,-0.017,0,1.235,2.559,1.353,0,2.562,0,0,1.403,6.210,3.516,0.047,1.443,1.340,0,3.182,8.195,7.876,0
QCN-CL,1.215,0.935,1.304,0.049,1.090,1.208,1.120,1.201,1.000,1.000,1.000,1.000,2.358,1.190,0.323,2.491,2.048,0.777,0.540,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,2.133,1.299,3.443,0,1.000,1.000,1.277,1.053,2.784,2.401,1.171,1.234,0,0,1.285,2.498,1.384,0,2.251,0,0,1.428,5.742,2.990,0.032,1.493,0.939,0,2.787,6.616,6.474,0
SL-1,0,0,0,0,0,0,-0.004,0,1.000,1.000,1.000,1.000,0,0,0,37.189,-0.009,0,0,1.000,0,1.000,1.000,1.000,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,-0.010,1.646,0.997,0.056,0.046,0.001,0,-0.003,0,0.077,0,1.331,-0.018,0,0.028,0,10.059,0.499,0,0.259,-0.018,0.334,3.424,7.468,0
SL-2,0,0,0,0,0,0,0.022,0,1.000,1.000,1.000,1.000,0,0,0,21.094,0,0.614,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,0.016,3.770,1.763,0.137,0.016,0.167,-0.010,0,0,0.857,-0.009,4.263,0.059,0.053,0.603,0,40.252,2.776,0,0.119,0.012,0.584,5.355,9.615,0.013
SL-3,0,0,0,0,0,0,0.008,0,1.000,1.000,1.000,1.000,0,0,0,19.474,0,0.211,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,-0.006,1.272,0.800,0.073,0.068,0.031,0,0.008,0,0.188,-0.018,1.661,0.012,-0.019,0.299,0,16.462,0.692,0.005,0.153,-0.013,0.302,2.688,3.965,0.001
solvent-blank_201208025240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T-SB-1,0,0,0,0,0,0,0,0,1.000,1.000,0,1.000,0,0,0,3.367,0,0,0,1.000,0,1.000,1.000,1.000,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,0,0.042,0,0,0,-0.019,0,0,0,-0.007,0,0.063,0,0,0,0,1.395,0.052,0,0,0,0,0.666,0.307,0
T-SB-2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,6.180,0,0.037,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0.107,0,0,0,1.000,1.000,0,-0.008,0.158,0.123,-0.004,0,0.013,0,0,0,0.170,-0.019,0.299,-0.021,0,0.071,0,3.698,0.274,0,0,-0.014,0.044,0.501,0.528,0
T-SB-3,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,5.490,0,0.005,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0.169,0,0,0,1.000,1.000,0,-0.010,0.199,0.133,-0.004,0.010,0.012,0,0,0,0.157,0,0.423,-0.024,0,0.104,0,4.752,0.257,0,0,-0.017,0.038,0.441,0.650,0
