Compound,RT,SMILES,IE,slope,organic_modifier,pH.aq.,NH4,organic,viscosity,surface_tension,polarity_index
MeFOSAA,5.12,CN(CC(O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.1133476233315704,56210593709.825516,MeCN,7,1,53.12,0.8226495085847628,30.06297499295665,7.49088
NaDONA,3.6375,OC(=O)C(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,2.1509493973763036,158651030486.82925,MeCN,7,1,39.28333333333333,0.8951385107295585,31.269375684935902,8.19655
PFBS,2.5549999999999997,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.3242206302803217,188665998169.8222,MeCN,7,1,29.18,0.9229492803502899,35.239796552409196,8.71182
PFDA,4.97,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.503174580394978,83007602200.05298,MeCN,7,1,51.72,0.8317921101582847,30.029766282482665,7.5622799999999994
PFDoDA,5.83,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.8086279976465844,112661259563.75368,MeCN,7,1,59.74666666666667,0.7738507477825174,30.5083908963699,7.152919999999999
PFDS,5.93,O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.736127714241249,284827954686.2133,MeCN,7,1,60.68,0.7662449180892866,30.598549604645548,7.10532
PFHpA,3.42,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.6972737938243379,37078282090.234474,MeCN,7,1,37.25333333333333,0.9024281878301277,31.813345751226166,8.30008
PFHxA,2.705,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.20275855201052329,22612801138.72986,MeCN,7,1,30.580000000000002,0.920360852745239,34.487042868880835,8.640419999999999
PFHxDA,7.32,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.7142474779580006,102514586312.00577,MeCN,7,1,73.65333333333334,0.6417878736627406,31.919478278271022,6.44368
PFHxS,4.025,O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.4106004579179094,205687509707.0786,MeCN,7,1,42.9,0.8800298067966034,30.56864707261959,8.0121
PFNA,4.505,FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.2726850558215073,65920051826.27636,MeCN,7,1,47.379999999999995,0.8575474851672562,30.114459500136455,7.78362
PFOA,4,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.9451930684785239,47510497397.08332,MeCN,7,1,42.666666666666664,0.8810861723153037,30.604255009910876,8.024
PFOS,5.055,O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.59,246104838024.5771,MeCN,7,1,52.513333333333335,0.8266616613325406,30.045357162654618,7.52182
PFPeA,1.6275,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.6965913520663605,37052986954.43223,MeCN,7,1,20.523333333333333,0.9299135284896939,41.62110765295277,9.15331
PFTeDA,6.61,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.5824300866527932,89854141228.22083,MeCN,7,1,67.02666666666667,0.7097270237627887,31.281328387143112,6.7816399999999994
PFTriDA,6.23,FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.6839998520834298,99460190443.78519,MeCN,7,1,63.48,0.7423418515406964,30.89113477321077,6.962519999999999
PFUnDA,5.405,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.6153508157620735,92861434619.0838,MeCN,7,1,55.78,0.8041574053091374,30.191900389408506,7.355219999999999
