"";"Compound";"Filename";"Area";"RT";"Theoretical_amt";"SMILES";"IC";"Molecular_weight";"area_IC";"Theoretical_conc_uM";"slope_pred";"conc_pred";"Compound_homolog";"SMILES_homolog";"slope_homolog";"pattern";"conc_homolog";"intercept_homolog";"conc_homolog_withIntercept"
"12";"PFDA";"2020071206-cal32";462906;4,98;0,142;"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";111,753136922899;514,083;51731197,6004313;0,000276219987822978;107195805617,959;0,00048258602379275;"PFUnDA";"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";92861434619,0838;"bigger";0,000557079457286352;78567567,5810738;-0,000288993704337273
"13";"PFDA";"2020071207-cal41";1868841;4,97;0,496;"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";111,753136922899;514,083;208848844,160127;0,000964824746198571;107195805617,959;0,00194829306012639;"PFNA";"FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";65920051826,2764;"smaller";0,00316821419847364;-94316991,5168419;0,00459899267791722
"14";"PFDA";"2020071207-cal41";1868841;4,97;0,496;"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";111,753136922899;514,083;208848844,160127;0,000964824746198571;107195805617,959;0,00194829306012639;"PFUnDA";"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";92861434619,0838;"bigger";0,00224903745044239;78567567,5810738;0,00140296428881876
"15";"PFDA";"2020071207-cal42";2043558;4,97;0,496;"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";111,753136922899;514,083;228374016,983885;0,000964824746198571;107195805617,959;0,00213043799304797;"PFNA";"FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";65920051826,2764;"smaller";0,00346440894169402;-94316991,5168419;0,0048951874211376
"16";"PFDA";"2020071207-cal42";2043558;4,97;0,496;"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";111,753136922899;514,083;228374016,983885;0,000964824746198571;107195805617,959;0,00213043799304797;"PFUnDA";"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";92861434619,0838;"bigger";0,00245929882432542;78567567,5810738;0,0016132256627018
"17";"PFDA";"2020071208-cal51";2461679;4,96;1,727;"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";111,753136922899;514,083;275100350,347224;0,00335937971105833;107195805617,959;0,00256633502366379;"PFNA";"FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";65920051826,2764;"smaller";0,00417324232499414;-94316991,5168419;0,00560402080443773
"18";"PFDA";"2020071208-cal51";2461679;4,96;1,727;"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";111,753136922899;514,083;275100350,347224;0,00335937971105833;107195805617,959;0,00256633502366379;"PFUnDA";"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";92861434619,0838;"bigger";0,00296248223469389;78567567,5810738;0,00211640907307027
"19";"PFDA";"2020071208-cal52";3239697;4,97;1,727;"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";111,753136922899;514,083;362046302,429704;0,00335937971105833;107195805617,959;0,00337742974496615;"PFNA";"FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";65920051826,2764;"smaller";0,00549220293976451;-94316991,5168419;0,00692298141920809
"20";"PFDA";"2020071208-cal52";3239697;4,97;1,727;"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";111,753136922899;514,083;362046302,429704;0,00335937971105833;107195805617,959;0,00337742974496615;"PFUnDA";"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";92861434619,0838;"bigger";0,00389877998239864;78567567,5810738;0,00305270682077501
"21";"PFDA";"2020071209-cal61";11968405;4,97;6,166;"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";111,753136922899;514,083;1337506802,7137;0,0119941721472992;107195805617,959;0,0124772307554693;"PFNA";"FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";65920051826,2764;"smaller";0,0202898323902798;-94316991,5168419;0,0217206108697234
"22";"PFDA";"2020071209-cal61";11968405;4,97;6,166;"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";111,753136922899;514,083;1337506802,7137;0,0119941721472992;107195805617,959;0,0124772307554693;"PFUnDA";"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";92861434619,0838;"bigger";0,0144032537102204;78567567,5810738;0,0135571805485967
"23";"PFDA";"2020071209-cal62";13000935;4,97;6,166;"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";111,753136922899;514,083;1452895269,1807;0,0119941721472992;107195805617,959;0,0135536578208923;"PFNA";"FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";65920051826,2764;"smaller";0,0220402628476327;-94316991,5168419;0,0234710413270763
"24";"PFDA";"2020071209-cal62";13000935;4,97;6,166;"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";111,753136922899;514,083;1452895269,1807;0,0119941721472992;107195805617,959;0,0135536578208923;"PFUnDA";"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";92861434619,0838;"bigger";0,0156458413025866;78567567,5810738;0,0147997681409629
