name;SMILES;logIE;pH.aq.;polarity_index;viscosity;surface_tension;NH4;data_type
PFOS;O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;2.59;7;7.5233075;0.8268528354210395;30.04461780401952;1;PFAS
PFHxS;O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;2.5170773091178202;7;8.0121;0.8800300329585761;30.56862190704348;1;PFAS
11Cl-PF3OUdS;O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl;2.749792707907208;7;6.970849999999999;0.743781523718057;30.87341308679025;1;PFAS
9Cl-PF3ONS;O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl;2.6283992605671673;7;7.3745575;0.8068834320146713;30.168779835333364;1;PFAS
8:2 FTS;O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;1.7255814374342524;7;7.64677;0.8420855753252221;30.026249105037824;1;PFAS
6:2 FTS;O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;1.672134446018982;7;8.120687499999999;0.8892536131132287;30.94143081191424;1;PFAS
4:2 FTS;O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F;1.643332139154726;7;8.753767499999999;0.9242812741385157;35.71564201870292;1;PFAS
benzoic acid;OC(=O)c1ccccc1;0.11;10.5;9.32;0.93;42.11062016;1;non-PFAS
3,5-dinitrobenzoic acid;OC(=O)c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O;1.26;10.5;9.32;0.93;42.11062016;1;non-PFAS
3-trifluoromethylbenzoic acid;OC(=O)c1cccc(c1)C(F)(F)F;1.37;10.5;9.32;0.93;42.11062016;1;non-PFAS
pentafluorophenol;Oc1c(F)c(F)c(F)c(F)c1F;1.55;10.5;9.32;0.93;42.11062016;1;non-PFAS
4-tert-butylbenzoic acid;CC(C)(C)c1ccc(cc1)C(O)=O;1.36;10.5;9.32;0.93;42.11062016;1;non-PFAS
4-(pentafluorophenyl)-2,3,5,6-tetrafluorophenol;Oc1c(F)c(F)c(c(F)c1F)c2c(F)c(F)c(F)c(F)c2F;2.69;10.5;9.32;0.93;42.11062016;1;non-PFAS
pentakis(trifluoromethyl)phenol;Oc1c(c(c(c(c1C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F;2.6;10.5;9.32;0.93;42.11062016;1;non-PFAS
4-phenylphenol;Oc1ccc(cc1)c2ccccc2;0.62;10.5;9.32;0.93;42.11062016;1;non-PFAS
2-phenylphenol;Oc1ccccc1c2ccccc2;0.45;10.5;9.32;0.93;42.11062016;1;non-PFAS
3-chlorobenzoic acid;OC(=O)c1cccc(Cl)c1;0.77;10.5;9.32;0.93;42.11062016;1;non-PFAS
4-aminobenzoic acid;Nc1ccc(cc1)C(O)=O;0.08;10.5;9.32;0.93;42.11062016;1;non-PFAS
4-hydroxybenzoic acid;OC(=O)c1ccc(O)cc1;0.37;10.5;9.32;0.93;42.11062016;1;non-PFAS
3-aminobenzoic acid;Nc1cccc(c1)C(O)=O;0.21;10.5;9.32;0.93;42.11062016;1;non-PFAS
pentafluorobenzoic acid;OC(=O)c1c(F)c(F)c(F)c(F)c1F;0.95;10.5;9.32;0.93;42.11062016;1;non-PFAS
2,4-dinitrophenol;Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O;1.2;10.5;9.32;0.93;42.11062016;1;non-PFAS
3-dimethylaminobenzoic acid;CN(C)c1cccc(c1)C(O)=O;1.05;10.5;9.32;0.93;42.11062016;1;non-PFAS
4-isopropylbenzoic acid;CC(C)c1ccc(cc1)C(O)=O;0.67;10.5;9.32;0.93;42.11062016;1;non-PFAS
2-tert-butylphenol;CC(C)(C)c1ccccc1O;-0.09;10.5;9.32;0.93;42.11062016;1;non-PFAS
2,5-dinitrophenol;Oc1cc(ccc1[N+]([O-])=O)[N+]([O-])=O;1.45;10.5;9.32;0.93;42.11062016;1;non-PFAS
3-chlorophenol;Oc1cccc(Cl)c1;0.36;10.5;9.32;0.93;42.11062016;1;non-PFAS
2-isopropylphenol;CC(C)c1ccccc1O;-0.17;10.5;9.32;0.93;42.11062016;1;non-PFAS
3-bromophenol;Oc1cccc(Br)c1;0.8;10.5;9.32;0.93;42.11062016;1;non-PFAS
2,6-dinitrophenol;Oc1c(cccc1[N+]([O-])=O)[N+]([O-])=O;1.51;10.5;9.32;0.93;42.11062016;1;non-PFAS
2-nitrophenol;Oc1ccccc1[N+]([O-])=O;-0.37;10.5;9.32;0.93;42.11062016;1;non-PFAS
3-nitrophenol;Oc1cccc(c1)[N+]([O-])=O;1.01;10.5;9.32;0.93;42.11062016;1;non-PFAS
4-nitrophenol;Oc1ccc(cc1)[N+]([O-])=O;1.48;10.5;9.32;0.93;42.11062016;1;non-PFAS
2,3,5,6-tetrafluorophenol;Oc1c(F)c(F)cc(F)c1F;1.7;10.5;9.32;0.93;42.11062016;1;non-PFAS
3-[(heptafluoropropyl)sulphonyl]benzoic acid;OC(C1=CC=CC(S(=O)(C(F)(C(F)(C(F)(F)F)F)F)=O)=C1)=O;2.78;10.5;9.32;0.93;42.11062016;1;non-PFAS
3-[tris(trifluoromethyl)methylsulphonyl]benzoic acid;OC(C1=CC=CC(S(=O)(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)=O)=C1)=O;2.63;10.5;9.32;0.93;42.11062016;1;non-PFAS
3-[(heptafluoropropyl)sulphanyl]benzoic acid;OC(C1=CC=CC(SC(F)(C(F)(C(F)(F)F)F)F)=C1)=O;2.52;10.5;9.32;0.93;42.11062016;1;non-PFAS
3-trifluoromethylsulfonylbenzoic acid;OC(=O)c1cccc(c1)[S](=O)(=O)C(F)(F)F;2.05;10.5;9.32;0.93;42.11062016;1;non-PFAS
3-[tris(trifluoromethyl)methyl]benzoic acid;FC(F)(F)C(c1cccc(c1)C(=O)O)(C(F)(F)F)C(F)(F)F;2.75;10.5;9.32;0.93;42.11062016;1;non-PFAS
3-[(trifluoromethyl)sulphanyl]benzoic acid;OC(C1=CC=CC(SC(F)(F)F)=C1)=O;1.43;10.5;9.32;0.93;42.11062016;1;non-PFAS
pentachlorophenol;Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl;2.58;10.5;9.32;0.93;42.11062016;1;non-PFAS
2-hydroxy-1,3,5-tris(2,2,2-trifluoroethyl)-1,3,5-benzenetrisulfonic acid ester;O=S(C1=C(O)C(S(=O)(OCC(F)(F)F)=O)=CC(S(=O)(OCC(F)(F)F)=O)=C1)(OCC(F)(F)F)=O;4.05;10.5;9.32;0.93;42.11062016;1;non-PFAS
salicylic acid;OC(=O)c1ccccc1O;0.72;10.5;9.32;0.93;42.11062016;1;non-PFAS
2-cyanophenol;Oc1ccccc1C#N;0.76;10.5;9.32;0.93;42.11062016;1;non-PFAS
4-phenylazophenol;Oc1ccccc1N=Nc2cc(ccc2O)c3ccccc3;1.27;10.5;9.32;0.93;42.11062016;1;non-PFAS
3,5-diiodosalicylic acid;OC(=O)c1cc(I)cc(I)c1O;2.14;10.5;9.32;0.93;42.11062016;1;non-PFAS
2,4,6-trinitro-1,3-benzenediol;Oc1c(cc(c(O)c1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O;1.77;10.5;9.32;0.93;42.11062016;1;non-PFAS
3,5-dinitrosalicylic acid;OC(=O)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O;1.67;10.5;9.32;0.93;42.11062016;1;non-PFAS
2,4-dinitrobenzoic acid;OC(=O)c1ccc(cc1[N+]([O-])=O)[N+]([O-])=O;0.06;10.5;9.32;0.93;42.11062016;1;non-PFAS
4-chlorophenol;Oc1ccc(Cl)cc1;0.26;10.5;9.32;0.93;42.11062016;1;non-PFAS
2-hydroxy-, 1,3,5-tris(2,2,3,3-tetrafluoro-propyl) 1,3,5-benzenetrisulfonic acid ester;O=S(C1=C(O)C(S(=O)(OCC(F)(C(F)F)F)=O)=CC(S(=O)(OCC(F)(C(F)F)F)=O)=C1)(OCC(F)(C(F)F)F)=O;3.09;10.5;9.32;0.93;42.11062016;1;non-PFAS
heptafluorornapht-2-ol;FC1=C(O)C(F)=C(F)C2=C(F)C(F)=C(F)C(F)=C21;1.71;10.5;9.32;0.93;42.11062016;1;non-PFAS
2,4-dinitro-benzenesulfonic acid;O[S](=O)(=O)c1ccc(cc1[N+]([O-])=O)[N+]([O-])=O;1.46;10.5;9.32;0.93;42.11062016;1;non-PFAS
naphthalene-1-sulfonic acid;O=S(C1=CC=CC2=CC=CC=C21)(O)=O;1.46;10.5;9.32;0.93;42.11062016;1;non-PFAS
2-anthraquinonesulfonic acid;O[S](=O)(=O)c1ccc2C(=O)c3ccccc3C(=O)c2c1;1.97;10.5;9.32;0.93;42.11062016;1;non-PFAS
