Compound Filename Area RT Theoretical_amt SMILES IC Molecular_weight area_IC Theoretical_conc_uM logIE_predicted_LOO logIE_predicted logIE model_nr slope name slope_pred conc_pred_uM conc_pred_pg_uL Compound_homolog SMILES_homolog slope_homolog pattern conc_homolog_uM intercept_homolog conc_homolog_withIntercept_uM
11Cl-PF3OUdS 2020071208-cal52 9509490 6.21 1.746 O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 155.79091314057297 632.599 1481492130.6011472 0.0027600423016792626 2.582031011581421 2.582031011581421 2.7508170386734125 model_1 522307507032.37994 11Cl-PF3OUdS 312976475862.1804 0.0047335574551408905 2.9944437125646726 9Cl-PF3ONS O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 391215958022.1548 smaller 0.003786890846914914 80353402.74659069 0.0035814968666876552
11Cl-PF3OUdS 2020071209-cal61 30054148 6.22 6.261 O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 155.79091314057297 632.599 4682163160.581924 0.00989726509210416 2.582031011581421 2.582031011581421 2.7508170386734125 model_1 522307507032.37994 11Cl-PF3OUdS 312976475862.1804 0.01496011209048095 9.46375194832616 9Cl-PF3ONS O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 391215958022.1548 smaller 0.011968231521672158 80353402.74659069 0.0117628375414449
11Cl-PF3OUdS 2020071209-cal62 36153200 6.21 6.261 O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 155.79091314057297 632.599 5632340040.953763 0.00989726509210416 2.582031011581421 2.582031011581421 2.7508170386734125 model_1 522307507032.37994 11Cl-PF3OUdS 312976475862.1804 0.017996049145348456 11.384282693298289 9Cl-PF3ONS O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 391215958022.1548 smaller 0.014397009951814902 80353402.74659069 0.014191615971587641
11Cl-PF3OUdS 2020071210-cal71 44346601 6.21 21.642 O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 155.79091314057297 632.599 6908797464.470646 0.03421124598679416 2.582031011581421 2.582031011581421 2.7508170386734125 model_1 522307507032.37994 11Cl-PF3OUdS 312976475862.1804 0.022074494402297966 13.964303084399292 9Cl-PF3ONS O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 391215958022.1548 smaller 0.017659804828512125 80353402.74659069 0.017454410848284866
11Cl-PF3OUdS 2020071210-cal72 108622373 6.22 21.642 O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 155.79091314057297 632.599 16922378677.165918 0.03421124598679416 2.582031011581421 2.582031011581421 2.7508170386734125 model_1 522307507032.37994 11Cl-PF3OUdS 312976475862.1804 0.0540691712709351 34.20410367682228 9Cl-PF3ONS O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 391215958022.1548 smaller 0.04325584969161098 80353402.74659069 0.04305045571138372
11Cl-PF3OUdS 2020071211-cal81 207332382 6.21 74.795 O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 155.79091314057297 632.599 32300501115.390095 0.11823445816386051 2.582031011581421 2.582031011581421 2.7508170386734125 model_1 522307507032.37994 11Cl-PF3OUdS 312976475862.1804 0.10320424570699575 65.28690262999982 9Cl-PF3ONS O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 391215958022.1548 smaller 0.08256437513103926 80353402.74659069 0.082358981150812
11Cl-PF3OUdS 2020071211-cal82 296147019 6.21 74.795 O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 155.79091314057297 632.599 46137014513.868614 0.11823445816386051 2.582031011581421 2.582031011581421 2.7508170386734125 model_1 522307507032.37994 11Cl-PF3OUdS 312976475862.1804 0.1474136814492892 93.25374747113891 9Cl-PF3ONS O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 391215958022.1548 smaller 0.1179323429113693 80353402.74659069 0.11772694893114204
11Cl-PF3OUdS 2020071212-solvent_201208105404 4337 6.2 NA O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 155.79091314057297 632.599 675665.1902906649 NA 2.582031011581421 2.582031011581421 2.7508170386734125 model_1 522307507032.37994 11Cl-PF3OUdS 312976475862.1804 2.1588369810521956e-6 0.001365678115376638 9Cl-PF3ONS O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 391215958022.1548 smaller 1.7270900545739026e-6 80353402.74659069 -2.036668901726852e-4
11Cl-PF3OUdS 2020071212-solvent_201208185514 35287 6.21 NA O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 155.79091314057297 632.599 5497393.951991398 NA 2.582031011581421 2.582031011581421 2.7508170386734125 model_1 522307507032.37994 11Cl-PF3OUdS 312976475862.1804 1.7564879075487394e-5 0.011111524938274251 9Cl-PF3ONS O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 391215958022.1548 smaller 1.4052069807643371e-5 80353402.74659069 -1.9134191041961574e-4
11Cl-PF3OUdS QCN-AL 10462900 6.2 NA O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 155.79091314057297 632.599 1630024745.098501 NA 2.582031011581421 2.582031011581421 2.7508170386734125 model_1 522307507032.37994 11Cl-PF3OUdS 312976475862.1804 0.005208138217443168 3.294663028216331 9Cl-PF3ONS O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 391215958022.1548 smaller 0.004166559956652361 80353402.74659069 0.003961165976425101
11Cl-PF3OUdS QCN-BL 13494091 6.21 NA O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 155.79091314057297 632.599 2102256758.8919873 NA 2.582031011581421 2.582031011581421 2.7508170386734125 model_1 522307507032.37994 11Cl-PF3OUdS 312976475862.1804 0.006716980096030344 4.2491548917687 9Cl-PF3ONS O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 391215958022.1548 smaller 0.00537364776610911 80353402.74659069 0.005168253785881851
11Cl-PF3OUdS QCN-CL 11578562 6.21 NA O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 155.79091314057297 632.599 1803834746.8347387 NA 2.582031011581421 2.582031011581421 2.7508170386734125 model_1 522307507032.37994 11Cl-PF3OUdS 312976475862.1804 0.005763483475445163 3.645973883083135 9Cl-PF3ONS O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 391215958022.1548 smaller 0.004610841428745058 80353402.74659069 0.004405447448517799
11Cl-PF3OUdS cal7_201208072952 59464496 6.21 NA O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 155.79091314057297 632.599 9264028131.283949 NA 2.582031011581421 2.582031011581421 2.7508170386734125 model_1 522307507032.37994 11Cl-PF3OUdS 312976475862.1804 0.029599758594519337 18.72477768713434 9Cl-PF3ONS O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 391215958022.1548 smaller 0.02368008753558903 80353402.74659069 0.02347469355536177
11Cl-PF3OUdS cal7_201208103931 75802895 6.21 NA O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 155.79091314057297 632.599 11809402230.748974 NA 2.582031011581421 2.582031011581421 2.7508170386734125 model_1 522307507032.37994 11Cl-PF3OUdS 312976475862.1804 0.03773255545234415 23.869576846597457 9Cl-PF3ONS O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 391215958022.1548 smaller 0.030186402135672086 80353402.74659069 0.029981008155444824
11Cl-PF3OUdS cal7_201208143247 90777263 6.22 NA O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 155.79091314057297 632.599 14142272695.171947 NA 2.582031011581421 2.582031011581421 2.7508170386734125 model_1 522307507032.37994 11Cl-PF3OUdS 312976475862.1804 0.04518637592877592 28.58485622616772 9Cl-PF3ONS O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 391215958022.1548 smaller 0.03614952919269991 80353402.74659069 0.03594413521247265
