Compound Filename Area RT Theoretical_amt SMILES IC Molecular_weight area_IC Theoretical_conc_uM logIE_predicted_LOO logIE_predicted logIE model_nr slope name slope_pred conc_pred_uM conc_pred_pg_uL Compound_homolog SMILES_homolog slope_homolog pattern conc_homolog_uM intercept_homolog conc_homolog_withIntercept_uM
PFDA 2020071206-cal32 462906 4.98 0.142 OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 111.75313692289856 514.083 51731197.60043128 2.76219987822978e-4 2.268279552459717 2.268279552459717 2.09342386245092 model_20 114563958344.31128 PFDA 171961474170.33243 3.0083015890634986e-4 0.15465167058105306 PFNA FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 86118429273.59398 smaller 6.006983410726621e-4 20933655.5448206 3.576184832374081e-4
PFDA 2020071206-cal32 462906 4.98 0.142 OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 111.75313692289856 514.083 51731197.60043128 2.76219987822978e-4 2.268279552459717 2.268279552459717 2.09342386245092 model_20 114563958344.31128 PFDA 171961474170.33243 3.0083015890634986e-4 0.15465167058105306 PFUnDA OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 133779798894.0565 bigger 3.8668915656988305e-4 30039048.62929527 1.6214816549630598e-4
PFDA 2020071207-cal41 1868841 4.97 0.496 OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 111.75313692289856 514.083 208848844.1601267 9.648247461985711e-4 2.268279552459717 2.268279552459717 2.09342386245092 model_20 114563958344.31128 PFDA 171961474170.33243 0.0012145095008505005 0.6243586877257278 PFNA FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 86118429273.59398 smaller 0.00242513531565496 20933655.5448206 0.0021820554578197058
PFDA 2020071207-cal41 1868841 4.97 0.496 OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 111.75313692289856 514.083 208848844.1601267 9.648247461985711e-4 2.268279552459717 2.268279552459717 2.09342386245092 model_20 114563958344.31128 PFDA 171961474170.33243 0.0012145095008505005 0.6243586877257278 PFUnDA OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 133779798894.0565 bigger 0.0015611388706415921 30039048.62929527 0.0013365978795680151
PFDA 2020071207-cal42 2043558 4.97 0.496 OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 111.75313692289856 514.083 228374016.98388475 9.648247461985711e-4 2.268279552459717 2.268279552459717 2.09342386245092 model_20 114563958344.31128 PFDA 171961474170.33243 0.0013280533798964423 0.6827296656973026 PFNA FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 86118429273.59398 smaller 0.0026518599899024147 20933655.5448206 0.0024087801320671607
PFDA 2020071207-cal42 2043558 4.97 0.496 OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 111.75313692289856 514.083 228374016.98388475 9.648247461985711e-4 2.268279552459717 2.268279552459717 2.09342386245092 model_20 114563958344.31128 PFDA 171961474170.33243 0.0013280533798964423 0.6827296656973026 PFUnDA OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 133779798894.0565 bigger 0.0017070889541756578 30039048.62929527 0.001482547963102081
PFDA 2020071208-cal51 2461679 4.96 1.727 OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 111.75313692289856 514.083 275100350.347224 0.0033593797110583316 2.268279552459717 2.268279552459717 2.09342386245092 model_20 114563958344.31128 PFDA 171961474170.33243 0.001599778971856974 0.8224191731891487 PFNA FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 86118429273.59398 smaller 0.003194442265931765 20933655.5448206 0.002951362408096511
PFDA 2020071208-cal51 2461679 4.96 1.727 OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 111.75313692289856 514.083 275100350.347224 0.0033593797110583316 2.268279552459717 2.268279552459717 2.09342386245092 model_20 114563958344.31128 PFDA 171961474170.33243 0.001599778971856974 0.8224191731891487 PFUnDA OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 133779798894.0565 bigger 0.002056366900095901 30039048.62929527 0.0018318259090223238
PFDA 2020071208-cal52 3239697 4.97 1.727 OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 111.75313692289856 514.083 362046302.4297037 0.0033593797110583316 2.268279552459717 2.268279552459717 2.09342386245092 model_20 114563958344.31128 PFDA 171961474170.33243 0.0021053919441926115 1.0823462068463703 PFNA FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 86118429273.59398 smaller 0.004204051391595875 20933655.5448206 0.003960971533760621
PFDA 2020071208-cal52 3239697 4.97 1.727 OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 111.75313692289856 514.083 362046302.4297037 0.0033593797110583316 2.268279552459717 2.268279552459717 2.09342386245092 model_20 114563958344.31128 PFDA 171961474170.33243 0.0021053919441926115 1.0823462068463703 PFUnDA OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 133779798894.0565 bigger 0.002706285294362096 30039048.62929527 0.002481744303288519
