SMILES;Compound;slope;RT;organic_modifier_percentage;viscosity;surface_tension;polarity_index;organic_modifier;pH.aq.;NH4;additive;additive_concentration_mM;instrument;source;name;logIE;data_type
O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;6:2 FTS;43678529221.50838;3.796875;40.77083333333333;0.8892536131132287;30.94143081191424;8.120687499999999;MeCN;7;1;ammoniumacetate;2;Orbitrap;ESI;6:2 FTS;0.4765364580305862;PFAS
O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F;4:2 FTS;40875746693.093475;2.466875;28.357499999999998;0.9242812741385157;35.71564201870292;8.753767499999999;MeCN;7;1;ammoniumacetate;2;Orbitrap;ESI;4:2 FTS;0.4102166956011102;PFAS
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;PFHxDA;129672816624.16699;7.31875;73.64166666666665;0.6419159520467952;31.918611305484262;6.444275000000001;MeCN;7;1;ammoniumacetate;2;Orbitrap;ESI;PFHxDA;1.5646942816333742;PFAS
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;PFTeDA;138690818891.24393;6.610625000000001;67.0325;0.7096718319800159;31.281970462011387;6.781342499999999;MeCN;7;1;ammoniumacetate;2;Orbitrap;ESI;PFTeDA;1.6319269299525772;PFAS
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;PFDoDA;184279632017.35904;5.828125;59.72916666666667;0.7739922321690367;30.506729317115074;7.153812499999999;MeCN;7;1;ammoniumacetate;2;Orbitrap;ESI;PFDoDA;1.91613414202838;PFAS
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;PFUnDA;135184316528.94336;5.40625;55.791666666666664;0.804073287158524;30.192623531929325;7.3546249999999995;MeCN;7;1;ammoniumacetate;2;Orbitrap;ESI;PFUnDA;1.6063189537048583;PFAS
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;PFDA;114563958344.31128;4.973125;51.74916666666666;0.8316063945832308;30.030146046647133;7.5607925;MeCN;7;1;ammoniumacetate;2;Orbitrap;ESI;PFDA;1.440813054031529;PFAS
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;PFOA;68087391544.55668;4.0024999999999995;42.68999999999999;0.8809816100328041;30.60057368256693;8.02281;MeCN;7;1;ammoniumacetate;2;Orbitrap;ESI;PFOA;0.9204718486548047;PFAS
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;PFHpA;48410416883.337494;3.42375;37.288333333333334;0.9023103526349587;31.80289935865183;8.298295;MeCN;7;1;ammoniumacetate;2;Orbitrap;ESI;PFHpA;0.5793948142569874;PFAS
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;PFHxA;29081101646.778683;2.7025;30.55666666666667;0.9204084599042838;34.49881195014913;8.641609999999998;MeCN;7;1;ammoniumacetate;2;Orbitrap;ESI;PFHxA;0.06976833409162841;PFAS
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;PFPeA;44975565547.36422;1.6259375;20.50875;0.9299132402319463;41.634337166566596;9.154053750000001;MeCN;7;1;ammoniumacetate;2;Orbitrap;ESI;PFPeA;0.5057991532922923;PFAS
OC(=O)C(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)F;NaDONA;193578878864.8731;3.6371875;39.28041666666667;0.8951498815607767;31.270039329509736;8.19669875;MeCN;7;1;ammoniumacetate;2;Orbitrap;ESI;NaDONA;1.9653648709482456;PFAS
OC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;7:3 FTA;51302009558.56057;5.0625;52.58333333333333;0.8262028915795626;30.04712850953825;7.51825;MeCN;7;1;ammoniumacetate;2;Orbitrap;ESI;7:3 FTA;0.6374097229205913;PFAS
OC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;5:3 FTA;27463253770.22691;3.6246875;39.16374999999999;0.8955919578607341;31.298232818442273;8.202648749999998;MeCN;7;1;ammoniumacetate;2;Orbitrap;ESI;5:3 FTA;0.012528683418171482;PFAS
OC(=O)CCC(F)(F)C(F)(F)C(F)(F)F;3:3 FTA;3218442200.2285748;1.295;17.42;0.9286212286155475;44.714500462000515;9.31158;MeCN;7;1;ammoniumacetate;2;Orbitrap;ESI;3:3 FTA;-2.1314227474265026;PFAS
OC(=O)CN[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;FOSAA;147228205175.16794;4.8862499999999995;50.93833333333333;0.8367202335090242;30.02299121575355;7.602145;MeCN;7;1;ammoniumacetate;2;Orbitrap;ESI;FOSAA;1.6916635980136379;PFAS
OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;PFBS;233163377604.4269;2.5549999999999997;29.179999999999996;0.9229504111601533;35.239594082511125;8.71182;MeCN;7;1;ammoniumacetate;2;Orbitrap;ESI;PFBS;2.151419198110757;PFAS
