Compound,Filename,Area,RT,Theoretical_amt,SMILES,IC,Molecular_weight,area_IC,Theoretical_conc_uM,logIE_predicted_LOO,logIE_predicted,logIE,model_nr,slope,name,slope_pred,conc_pred_uM,conc_pred_pg_uL
8:2 diPAP,QCN-BL,4401173,7.48,NA,O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,125.2540013,990.203,551264528.7,NA,2.302074432,2.302074432,1.5956135,model_6,36159592370,8:2 diPAP,1.91522E+11,0.002878342,2.850142635
8:2 diPAP,QCN-CL,2943841,7.48,NA,O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,125.2540013,990.203,368727864.5,NA,2.302074432,2.302074432,1.5956135,model_6,36159592370,8:2 diPAP,1.91522E+11,0.001925255,1.906393306
8:2 FTSA,QCN-AL,3376839,4.79,NA,O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,117.8205384,528.183,397860989.1,NA,1.811134338,1.811134338,1.7275631,model_7,49398640566,8:2 FTS,55576075982,0.007158854,3.781184747
8:2 FTSA,QCN-BL,4478069,4.79,NA,O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,117.8205384,528.183,527608500.7,NA,1.811134338,1.811134338,1.7275631,model_7,49398640566,8:2 FTS,55576075982,0.009493446,5.014277021
8:2 FTSA,QCN-CL,3666339,4.79,NA,O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,117.8205384,528.183,431970035,NA,1.811134338,1.811134338,1.7275631,model_7,49398640566,8:2 FTS,55576075982,0.00777259,4.105349738
9Cl-PF3ONS,QCN-AL,10181035,5.36,NA,O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,152.5454088,532.584,1553070146,NA,2.568624973,2.568624973,2.629806536,model_8,3.94942E+11,9Cl-PF3ONS,3.15888E+11,0.004916515,2.618457149
9Cl-PF3ONS,QCN-BL,14130509,5.35,NA,O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,152.5454088,532.584,2155544271,NA,2.568624973,2.568624973,2.629806536,model_8,3.94942E+11,9Cl-PF3ONS,3.15888E+11,0.006823752,3.634221109
9Cl-PF3ONS,QCN-CL,11500701,5.35,NA,O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,152.5454088,532.584,1754379135,NA,2.568624973,2.568624973,2.629806536,model_8,3.94942E+11,9Cl-PF3ONS,3.15888E+11,0.005553794,2.957861627
EtFOSA,QCN-AL,10784824,7.86,NA,CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,117.8660912,527.198,1271165049,NA,2.134500265,2.134500265,2.476400176,model_9,2.77601E+11,EtFOSA,1.23119E+11,0.010324728,5.443176054
EtFOSA,QCN-BL,12235001,7.85,NA,CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,117.8660912,527.198,1442091743,NA,2.134500265,2.134500265,2.476400176,model_9,2.77601E+11,EtFOSA,1.23119E+11,0.011713039,6.175090522
EtFOSA,QCN-CL,11914948,7.85,NA,CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,117.8660912,527.198,1404368347,NA,2.134500265,2.134500265,2.476400176,model_9,2.77601E+11,EtFOSA,1.23119E+11,0.01140664,6.013557536
EtFOSAA,QCN-AL,2861885,5.34,NA,CCN(CC(O)=O)[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,121.1442078,585.234,346700791.3,NA,2.245304823,2.245304823,1.85598715,model_10,66382438705,EtFOSAA,1.57954E+11,0.002194947,1.284557852
EtFOSAA,QCN-BL,3859296,5.33,NA,CCN(CC(O)=O)[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,121.1442078,585.234,467531356.8,NA,2.245304823,2.245304823,1.85598715,model_10,66382438705,EtFOSAA,1.57954E+11,0.00295992,1.732246048
EtFOSAA,QCN-CL,3347118,5.34,NA,CCN(CC(O)=O)[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,121.1442078,585.234,405483958.7,NA,2.245304823,2.245304823,1.85598715,model_10,66382438705,EtFOSAA,1.57954E+11,0.002567101,1.502354815
7:3 FTCA,QCN-AL,2282699,5.055,NA,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,111.7531369,442.122,255098773.9,NA,1.890619993,1.890619993,1.742715749,model_11,51302009559,7:3 FTA,70968358181,0.003594542,1.589226283
7:3 FTCA,QCN-BL,3177687,5.055,NA,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,111.7531369,442.122,355116490.4,NA,1.890619993,1.890619993,1.742715749,model_11,51302009559,7:3 FTA,70968358181,0.005003871,2.212321336
