Compound,Filename,Area,RT,Theoretical_amt,SMILES,IC,Molecular_weight,area_IC,Theoretical_conc_uM,logIE_predicted_LOO,logIE_predicted,logIE,model_nr,slope,name,slope_pred,conc_pred_uM,conc_pred_pg_uL
6:2/8:2 diPAP,QCN-CL,4458818,6.88,NA,O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,122.59925548644893,890.188,546647767.1495773,NA,1.6925981044769287,1.6925981044769287,1.9099174265639989,model_5,75357736659.71585,6:2/8:2 diPAP,45333690186.70367,0.01205831170809714,10.734164382807577
8:2 diPAP,QCN-AL,3130053,7.48,NA,O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,125.25400131437574,990.203,392051662.5760657,NA,2.302074432373047,2.302074432373047,1.5956135004988248,model_6,36159592369.80663,8:2 diPAP,191521569279.88217,0.00204703660297988,2.026981785380486
8:2 diPAP,QCN-BL,4401173,7.48,NA,O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,125.25400131437574,990.203,551264528.7267951,NA,2.302074432373047,2.302074432373047,1.5956135004988248,model_6,36159592369.80663,8:2 diPAP,191521569279.88217,0.0028783417491802113,2.850142635063493
8:2 diPAP,QCN-CL,2943841,7.48,NA,O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,125.25400131437574,990.203,368727864.4833132,NA,2.302074432373047,2.302074432373047,1.5956135004988248,model_6,36159592369.80663,8:2 diPAP,191521569279.88217,0.001925255029340683,1.9063933058182323
8:2 FTS,QCN-AL,3376839,4.79,NA,O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,117.82053841787094,528.183,397860989.13046485,NA,1.8111343383789063,1.8111343383789065,1.727563099745697,model_7,49398640565.54665,8:2 FTS,55576075982.369934,0.007158853555200189,3.7811847473463014
8:2 FTS,QCN-BL,4478069,4.79,NA,O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,117.82053841787094,528.183,527608500.6523769,NA,1.8111343383789063,1.8111343383789065,1.727563099745697,model_7,49398640565.54665,8:2 FTS,55576075982.369934,0.009493446439431006,5.014277020717987
8:2 FTS,QCN-CL,3666339,4.79,NA,O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,117.82053841787094,528.183,431970035.0024385,NA,1.8111343383789063,1.8111343383789065,1.727563099745697,model_7,49398640565.54665,8:2 FTS,55576075982.369934,0.007772589686603095,4.105349738439083
9Cl-PF3ONS,QCN-AL,10181035,5.36,NA,O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,152.54540876437423,532.584,1553070145.719401,NA,2.568624973297119,2.568624973297119,2.6298065362145526,model_8,394941544812.8795,9Cl-PF3ONS,315888427241.55615,0.004916514857101069,2.618457148654316
9Cl-PF3ONS,QCN-BL,14130509,5.35,NA,O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,152.54540876437423,532.584,2155544271.453669,NA,2.568624973297119,2.568624973297119,2.6298065362145526,model_8,394941544812.8795,9Cl-PF3ONS,315888427241.55615,0.006823751950258532,3.6342211086764897
9Cl-PF3ONS,QCN-CL,11500701,5.35,NA,O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,152.54540876437423,532.584,1754379135.1218474,NA,2.568624973297119,2.568624973297119,2.6298065362145526,model_8,394941544812.8795,9Cl-PF3ONS,315888427241.55615,0.005553793630370302,2.9578616268371367
